MatchKey,BattingTeam,Score,Wickets,InningsResult,Overs,RPO,Lead,Inns,Result,Opposition,HostCountry,StartDate
570,Australia,258,10,1,115.2,2.24,258,1,1,India,India,12/24/1969
570,Australia,153,10,1,80.5,1.9,248,3,1,India,India,12/24/1969
571,Australia,164,10,1,66.4,2.47,-218,2,0,South Africa,South Africa,1/22/1970
571,Australia,280,10,1,129.1,2.17,70,4,0,South Africa,South Africa,1/22/1970
572,Australia,157,10,1,48.2,3.26,-465,2,0,South Africa,South Africa,02/05/1970
572,Australia,336,10,1,131.2,2.56,29,3,0,South Africa,South Africa,02/05/1970
573,Australia,202,10,1,91.2,2.21,-77,2,0,South Africa,South Africa,2/19/1970
573,Australia,178,10,1,77.5,2.3,-307,4,0,South Africa,South Africa,2/19/1970
574,Australia,212,10,1,76.1,2.79,-99,2,0,South Africa,South Africa,03/05/1970
574,Australia,246,10,1,90.3,2.72,-323,4,0,South Africa,South Africa,03/05/1970
575,Australia,433,10,1,153.5,2.82,433,1,0,England,Australia,11/27/1970
575,Australia,214,10,1,124.5,1.72,183,3,0,England,Australia,11/27/1970
576,Australia,440,10,1,152.5,2.89,43,2,0,England,Australia,12/11/1970
576,Australia,100,3,1,42.4,2.36,44,4,0,England,Australia,12/11/1970
577,Australia,236,10,1,102.2,2.31,-96,2,0,England,Australia,01/09/1971
577,Australia,116,10,1,75.3,1.54,-299,4,0,England,Australia,01/09/1971
578,Australia,493,9,0,170.4,2.89,493,1,0,England,Australia,1/21/1971
578,Australia,169,4,0,61.2,2.76,270,3,0,England,Australia,1/21/1971
579,Australia,235,10,1,101.3,2.32,-235,2,0,England,Australia,1/29/1971
579,Australia,328,3,1,153.2,2.14,40,4,0,England,Australia,1/29/1971
580,Australia,264,10,1,111.4,2.37,80,2,0,England,Australia,02/12/1971
580,Australia,160,10,1,83.4,1.92,-62,4,0,England,Australia,02/12/1971
598,Australia,142,10,1,58,2.45,7,2,0,England,England,06/08/1972
598,Australia,252,10,1,85.2,2.96,-89,4,0,England,England,06/08/1972
599,Australia,308,10,1,122.1,2.52,36,2,1,England,England,6/22/1972
599,Australia,81,2,1,26.5,3.06,1,4,1,England,England,6/22/1972
600,Australia,315,10,1,118.4,2.66,315,1,0,England,England,7/13/1972
600,Australia,324,4,0,92,3.52,450,3,0,England,England,7/13/1972
601,Australia,146,10,1,86.5,1.69,146,1,0,England,England,7/27/1972
601,Australia,136,10,1,56.1,2.42,19,3,0,England,England,7/27/1972
602,Australia,399,10,1,151.5,2.63,115,2,1,England,England,08/10/1972
602,Australia,242,5,1,92.2,2.62,1,4,1,England,England,08/10/1972
604,Australia,585,10,1,147,3.98,328,2,1,Pakistan,Australia,12/22/1972
605,Australia,441,5,0,114.1,3.87,441,1,1,Pakistan,Australia,12/29/1972
605,Australia,425,10,1,117,3.63,292,3,1,Pakistan,Australia,12/29/1972
607,Australia,334,10,1,107.3,3.11,334,1,1,Pakistan,Australia,01/06/1973
607,Australia,184,10,1,70.5,2.61,158,3,1,Pakistan,Australia,01/06/1973
614,Australia,428,7,0,157,2.73,428,1,0,West Indies,West Indies,2/16/1973
614,Australia,260,2,0,82,3.17,260,3,0,West Indies,West Indies,2/16/1973
616,Australia,324,10,1,131,2.47,324,1,0,West Indies,West Indies,03/09/1973
616,Australia,300,2,0,119.1,2.52,233,3,0,West Indies,West Indies,03/09/1973
618,Australia,332,10,1,129.1,2.57,332,1,1,West Indies,West Indies,3/23/1973
618,Australia,281,10,1,107,2.63,333,3,1,West Indies,West Indies,3/23/1973
620,Australia,341,10,1,135.4,2.52,-25,2,1,West Indies,West Indies,04/06/1973
620,Australia,135,0,1,43,3.14,1,4,1,West Indies,West Indies,04/06/1973
621,Australia,419,8,0,173,2.42,419,1,0,West Indies,West Indies,4/21/1973
621,Australia,218,7,0,80,2.73,318,3,0,West Indies,West Indies,4/21/1973
628,Australia,462,8,0,135.3,3.41,462,1,1,New Zealand,Australia,12/29/1973
629,Australia,162,10,1,59.2,2.74,50,2,0,New Zealand,Australia,01/05/1974
629,Australia,30,2,1,11.1,2.7,-425,4,0,New Zealand,Australia,01/05/1974
630,Australia,477,10,1,160.5,2.97,477,1,1,New Zealand,Australia,1/26/1974
633,Australia,511,6,0,140.5,3.64,511,1,0,New Zealand,New Zealand,03/01/1974
633,Australia,460,8,1,134.4,3.42,487,3,0,New Zealand,New Zealand,03/01/1974
635,Australia,223,10,1,77.4,2.88,223,1,0,New Zealand,New Zealand,03/08/1974
635,Australia,259,10,1,90,2.88,227,3,0,New Zealand,New Zealand,03/08/1974
636,Australia,221,10,1,61.4,3.6,221,1,1,New Zealand,New Zealand,3/22/1974
636,Australia,346,10,1,106,3.26,455,3,1,New Zealand,New Zealand,3/22/1974
645,Australia,309,10,1,123.3,2.51,309,1,1,England,Australia,11/29/1974
645,Australia,288,5,0,113.2,2.54,332,3,1,England,Australia,11/29/1974
647,Australia,481,10,1,145,3.32,273,2,1,England,Australia,12/13/1974
647,Australia,23,1,1,5.1,4.51,3,4,1,England,Australia,12/13/1974
648,Australia,241,10,1,123.3,1.95,0,2,0,England,Australia,12/26/1974
